#,Hasło,Uwaga
174,Koźlicki Bolesław 1888-1966,Poseł na Sejm Ust.;
175,Krajna Kazimierz 1880-1931,Poseł na Sejm Ust.;
176,Kramarczuk Adam 1871-1924,Poseł na Sejm Ust.;
177,Krawiec Kazimierz 1887-?,Poseł na Sejm Ust.;
178,Krempa Franciszek 1853-1935,Poseł na Sejm Ust. oraz I i II kadencji 1922-30;
179,Krężel Adam 1871-1945,Poseł na Sejm Ust. oraz I kadencji 1922-27;
180,Krężel Ignacy 1863-?,Poseł na Sejm Ust. (złożył mandat w XII 1919);
181,Kruczyński Michał 1886-1950,Poseł na Sejm Ust.;
182,Krzysztoforski Józef 1883-1951,Poseł na Sejm Ust.;
183,Krzywkowski Błażej 1878-1940,Poseł na Sejm Ust.;
184,Krzyżanowski Bronisław 1876-1943,Poseł na Sejm Ust.;
185,Kubus Władysław 1868?-?,Poseł na Sejm Ust.
186,Kucharczak Michał 1876-1953,Poseł na Sejm Ust.;
187,Kujawa Antoni ?-?,Wybrany na posła do Sejmu Ust.
188,Kulesza Bronisław 1869-po 1985,Poseł na Sejm Ust.
189,Kułakowski Maciej 1886-1965,Poseł na Sejm Ust.;
190,Kunicki Ryszard Paweł 1873-1960,Poseł na Sejm Ust. (od 14 III 1919);
191,Kupczyński Aleksander 1873-1941,Poseł na Sejm Ust. oraz I kadencji 1922-27
192,Kurach Walery 1868-?,Poseł na Sejm Ust.;
193,Kurczak Teofil 1877-1962,Poseł na Sejm Ust.;
194,Kurzawski Józef 1870-1925,Poseł na Sejm Ust.;
195,Kuśmierek Andrzej 1878-1971,Poseł na Sejm Ust.;
196,Kwasek Józef 1878-1957,Poseł na Sejm Ust.;
197,Kwiatkowski Władysław 1885-1929,Poseł na Sejm Ust.;
198,Kwiecień Franciszek 1890-?,Poseł na Sejm Ust.;
199,Lasota Piotr 1876-1942,Poseł na Sejm Ust. oraz III kadencji 1930-35;
200,Ledwoch Jan 1891-1952,Poseł na Sejm Ust. oraz I i II kadencji 1922-30;
201,Lewandowski Jan 1861-1933,Poseł na Sejm Ust. od 1920.
202,Lewandowski Zenon Eugeniusz 1859-1927,Poseł na Sejm Ust.;
203,Lewy Stanisław 1883-1941,Poseł na Sejm Ust.
204,Lisiecki Wawrzyniec 1875-1958,Poseł na Sejm Ust. oraz I kadencji 1922-27.
205,Lisowski Bolesław 1886-1942,Poseł na Sejm Ust.
206,Loeffler Franciszek Dominik 1874-1919,Poseł na Sejm Ust.
207,Loewenstein Natan 1859-1929,Poseł na Sejm Ust.
208,Londzin Józef 1863-1929,Poseł na Sejm Ust. (uznany za posła 14 III 1919) oraz I kadencji 1922-27.
209,Lubelski Józef 1884-1943,Poseł na Sejm Ust. oraz IV i V kadencji 1935-39.
210,Ludwiczak Antoni Jan 1878-1942,Poseł na Sejm Ust.
211,Luedecke Albrecht Johann 1874-1944,Poseł na Sejm Ust. (od 8 VI 1920).
212,Lutosławski Kazimierz 1880-1924,Poseł na Sejm Ust. oraz I kadencji 1922-27.
213,Łabęda Julian 1893-1945,Poseł na Sejm Ust. oraz I kadencji 1922-27.
214,Łakota Jan 1881-1952,Poseł na Sejm Ust. oraz II kadencji 1928-30.
215,Łańcucki Stanisław 1882-1937,Poseł na Sejm Ust. oraz I kadencji 1922-27 (złożył mandat 25 II 1926).
216,Łaskuda Michał 1873-1929,Poseł na Sejm Ust. oraz I kadencji 1922-27.
217,Łaszewski Stefan 1862-1924,Poseł na Sejm Ust.
218,Łosiński Bernard Antoni 1865-1940,Poseł na Sejm Ust. oraz III kadencji 1930-35.
219,Łoś Hieronim 1867-1929,Poseł na Sejm Ust.
220,Maciejewicz Stanisław 1869-1940,Poseł na Sejm Ust.
221,Madej Jakub 1868-1964,Poseł na Sejm Ust. i II kadencji 1928-30.
222,Madej Jan Kanty 1875-1941,Poseł na Sejm Ust. (od czerwca 1919) i II kadencji 1928-30.
223,Maj Andrzej 1869-1934,Poseł na Sejm Ust. (wicemarszałek).
224,Majcher Piotr 1874-1938,Poseł na Sejm Ust.
225,Majewski-Starża Stanisław Jan 1860-1944,Poseł na Sejm Ust.
226,Makuch Julian 1886-1958,Poseł na Sejm Ust.
227,Malewski Bronisław 1874-1920,Poseł na Sejm Ust.
228,Malinowski Marian 1876-1948,"Poseł na Sejm Ust. oraz I, II i III kadencji 1919-35."
229,Maliński Kazimierz 1872-1928,Poseł na Sejm Ust. (zrzekł się mandatu w 1921).
230,Małowieski Józef 1892-1944,Poseł na Sejm Ust.
231,Małyszko Adolf 1886-1963,Poseł na Sejm Ust. (złożył mandat na przełomie II/III 1920).
232,Mańkowski Franciszek 1872-1948,"Poseł na Sejm Ust. oraz II kadencji, 1919-1922 i 1928-29 (mandat wygasł 23 X 1929 z powodu zrz"
233,Marchut Wojciech 1869-1938,Poseł na Sejm Ust.
234,Marek Michał 1865-1952,Poseł na Sejm Ust.
235,Marek Zygmunt 1872-1931,Poseł na Sejm Ust. oraz I (czł. Sądu Honorowego) i II (wicemarsz. Sejmu do 25 I 1930) kadencj
236,Margol Jan 1892-1925,Poseł na Sejm Ust.
237,Marweg Zygmunt 1878-1930,Poseł na Sejm Ust.
238,Marylski Antoni 1865-1932,Poseł na Sejm Ust. i I kadencji 1919-27.
239,Maślanka Franciszek 1880-1962,Poseł na Sejm Ust. i I kadencji 1919-27. W Sejmie Ust. w II 1919 wybrany kwestorem Sejmu.
240,Matakiewicz Antoni August 1873-1937,Poseł na Sejm Ust. i I kadencji 1919-27.
241,Matusz Józef 1870-1938,Poseł na Sejm Ust. oraz III kadencji 1930-35 (ślubowanie złożył 16 XII 1932).
242,Mazur Franciszek 1871-1957,Poseł na Sejm Ust.
243,Mąkolski Julian 1873-1951,Poseł na Sejm Ust.
244,Mąkowski Władysław Tomasz 1885-1945,Poseł na Sejm Ust. (ślubowanie złożył po 3 II 1919).
245,Meissner Czesław Gorgoniusz 1879-1950,Poseł na Sejm Ust.
246,Mendelsohn Uszer Izrael 1873-1935,Poseł na Sejm Ust. (ślubowanie złożył 6 XII 1921).
247,Michalak Stanisław 1886-1958,Poseł na Sejm Ust.
248,Michalak Walenty 1882-1933,Poseł na Sejm Ust. oraz I kadencji 1922-27.
249,Mickiewicz Antoni ok. 1889-?,Poseł na Sejm Ust.
250,Mieczkowski Adam Franciszek 1876-1953,Poseł na Sejm Ust. oraz I kadencji 1922-27.
251,Miedziński Stanisław 1873-1937,Poseł na Sejm Ust.
252,Mierzejewski Karol 1879-1942,Poseł na Sejm Ust. oraz I kadencji 1922-27.
